gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Pa03g1757,868.418131784179,-2.13399172841717,0.362963473568784,-5.879356695138,4.11863989798223e-09,2.31382833499976e-06,Down
Pa01g1001,6838.50424396205,-1.84856979353695,0.314619187729769,-5.87557868569897,4.21368756040642e-09,2.31382833499976e-06,Down
Pa02g1820,325.572102857846,-3.71249621792331,0.634652541640854,-5.84965154054986,4.92603905320593e-09,2.64059150580663e-06,Down
Pa04g2699,637.436935030271,-3.02451621855377,0.518288378868635,-5.8355856350782,5.36019572717573e-09,2.80649875817754e-06,Down
Pa07g1651,12549.2148831723,-6.1117271528558,1.04804735015457,-5.83153724109354,5.49190509945069e-09,2.81010798656893e-06,Down
Pa09g0931,191.785745512993,-11.0316227595269,1.89330532256994,-5.8266475185063,5.65518794127921e-09,2.82935336244356e-06,Down
Pa06g0191,10206.5065334456,-8.0728586492417,1.40179210975486,-5.7589556918347,8.46359128859202e-09,4.14237596242088e-06,Down
Pa01g0302,1120.15701456375,2.62688885194145,0.458421259106839,5.73029457023771,1.0025637807168e-08,4.80249382107618e-06,UP
Pa06g0933,727.9363965961,-3.53882165327021,0.618700598866805,-5.71976438967705,1.06671867595605e-08,5.00335505634887e-06,Down
Pa02g0320,6238.051925861,3.67212627757038,0.64591165875283,5.68518345784432,1.30672307509107e-08,6.0039925127756e-06,UP
Pa06g0533,191.044642316624,-4.89600975859165,0.865484324191256,-5.6569594870094,1.54078114274717e-08,6.8868863316686e-06,Down
Pa05g1052,700.22528268562,-2.43815690798455,0.431164035537167,-5.65482439866991,1.56005686646131e-08,6.8868863316686e-06,Down
Pa03g3955,848.080060855278,-2.12051351916822,0.375259348405841,-5.65079465222248,1.59707789268913e-08,6.91473301461599e-06,Down
Pa01g0043,224.022797912418,-8.2341929072258,1.4635061199131,-5.62634675399562,1.84066158746845e-08,7.81899150571032e-06,Down
Pa06g2085,175.615724794129,4.66697612777979,0.836704173560452,5.57780906950693,2.4356677699241e-08,1.01549304022354e-05,UP
Pa01g0998,306.521655419319,-4.2186584724883,0.764122331465313,-5.5209202751586,3.37228771916691e-08,1.38043064926043e-05,Down
Pa01g1063,17287.0776963828,-2.58027978545863,0.468713137956166,-5.50502978583018,3.69105858211157e-08,1.48393737352964e-05,Down
Pa02g2206,770.581340498838,-3.96213443908485,0.727305719998024,-5.44768771940308,5.1028847752194e-08,1.98079910050499e-05,Down
Pa07g3298,539.031037947603,-3.03006639292667,0.556037147146162,-5.44939561768195,5.05412755669417e-08,1.98079910050499e-05,Down
Pa05g0346,6543.48474813023,2.31932808253909,0.426452791242484,5.43865142911048,5.36853699445634e-08,2.04859732022356e-05,UP
Pa02g4050,482.059265008613,-5.48946491560969,1.01903970118618,-5.3868999502373,7.16833100803591e-08,2.68979673858201e-05,Down
Pa12g1362,808.310538886655,25.7311268777674,4.78480303681656,5.37767734215594,7.54528790376916e-08,2.78482970271244e-05,UP
Pa08g2456,334.179449742738,-3.35427309372679,0.625655359254095,-5.36121531465142,8.26639167352855e-08,2.96345007677091e-05,Down
Pa07g2914,1157.58090111194,3.18927808792421,0.594942895755868,5.36064572024559,8.29250043690892e-08,2.96345007677091e-05,UP
Pa01g0813,4913.83668674471,-1.71900571907643,0.322130465027439,-5.33636493813152,9.48284486371201e-08,3.33588701971269e-05,Down
Pa06g1463,1565.78934386069,-2.10748821622046,0.395345658176412,-5.33074835307804,9.7808873533847e-08,3.38779842883236e-05,Down
Pa02g0298,7347.90571512744,-2.20827373611842,0.415209002303951,-5.3184630484044,1.04647466985968e-07,3.5697470783668e-05,Down
Pa04g1625,609.45855655022,25.3260292853999,4.78482491072163,5.29298976617731,1.20332656755908e-07,3.87525783198274e-05,UP
Pa07g0139,401.905480158898,-6.83071493356042,1.28908426570066,-5.29888938629445,1.16509186731585e-07,3.87525783198274e-05,Down
Pa07g2231,769.208922923092,-4.78818221991166,0.903992718177653,-5.29670441324361,1.17911330163507e-07,3.87525783198274e-05,Down
Pa09g2060,1968.43151098258,-2.48800111085156,0.470076935211002,-5.29275300379241,1.2048860630665e-07,3.87525783198274e-05,Down
Pa04g1802,564.678911672931,25.2279623947077,4.78483195900921,5.27248660158414,1.34587665555131e-07,4.26775591874398e-05,UP
Pa08g1644,220.887389190112,-4.190604555069,0.80133644238597,-5.22951950443127,1.69951171617325e-07,5.31427871915619e-05,Down
Pa07g0171,474.613637230474,24.9871137124454,4.78485016960615,5.22213085608533,1.76875904352608e-07,5.45504672684193e-05,UP
Pa04g0872,478.914507077446,24.9621869973409,4.78484916958378,5.21692243843755,1.81920390289221e-07,5.53480495536692e-05,UP
